Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
554,3246,2483.7,0,2,0,3,3,0,0
615,412,6268.67,6,6,6,0,7,0,1
3252,1932,6807.35,7,6,3,7,0,0,1
15,2472,3500.35,7,5,5,2,2,1,4
816,707,9495.72,3,1,7,0,2,1,7
4928,1149,6610.9,5,5,7,0,6,0,0
3665,4714,1042.37,5,1,0,5,5,0,1
370,2143,908.54,5,2,3,7,3,1,4
3736,540,8229.46,3,2,3,0,1,1,5
3333,3371,1786.58,7,7,0,6,6,0,1
732,3982,9779.34,6,4,5,6,5,0,0
1520,3690,8822.11,3,1,0,3,4,1,3
4423,131,3375.23,1,1,0,5,0,0,1
1620,2573,3505.62,3,3,5,1,2,1,3
3813,2132,6836.49,7,4,7,1,6,0,0
4485,1553,1441.55,6,3,2,1,6,0,0
1707,4985,5287.95,3,4,7,5,1,1,7
1933,2306,7111.16,5,6,3,1,3,0,0
2439,4818,6072.82,7,3,7,6,1,1,4
1571,1568,2886.49,2,3,6,0,7,0,1
4228,3189,9818.35,1,3,6,0,6,0,0
864,3065,7798.69,1,6,5,6,0,0,0
77,2429,9899.56,6,7,5,1,4,1,6
3649,1917,7701.98,7,2,6,4,1,1,5
1687,2249,8887.8,3,2,5,1,0,0,1
3957,4720,2425.73,7,3,0,2,0,0,1
4557,4155,9845.53,1,0,7,0,0,0,1
3425,1518,5513.22,2,6,5,4,7,0,1
4247,3753,4597.4,6,5,5,0,4,1,3
4190,928,9007.84,7,4,2,2,0,0,1
2055,4541,8522.0,6,1,1,4,3,0,1
2337,3967,9554.56,5,1,7,2,0,0,0
1069,4955,1371.41,2,2,4,6,5,0,1
3772,3688,7622.75,2,5,6,4,1,1,4
3085,2772,9736.75,0,1,5,2,5,0,0
3081,2511,8552.06,2,7,6,0,1,1,6
3033,4654,2301.71,6,3,4,6,0,0,1
849,900,9211.13,5,4,4,2,5,0,1
2371,1795,3098.25,6,5,5,4,4,1,2
4335,4411,5287.05,2,6,7,0,0,0,0
4779,3548,9449.64,7,2,1,3,3,0,1
4133,3240,3690.29,7,4,7,1,6,0,1
2411,3708,3616.38,4,6,6,5,7,0,0
2749,1102,1207.13,0,0,2,6,4,1,4
627,1089,3481.86,7,1,2,3,2,1,7
3297,2110,9037.27,2,2,7,6,0,0,1
1377,2325,4999.97,4,0,4,4,2,1,7
4786,1517,3638.13,5,0,6,3,3,0,0
2963,30,621.5,5,5,4,0,4,1,3
3828,3680,5650.19,1,3,5,5,7,0,0
3344,2167,4809.17,6,5,7,5,0,0,0
937,809,1527.35,3,6,4,2,7,0,0
2406,1841,8066.1,5,6,5,0,6,0,1
4543,801,2179.15,6,6,3,4,2,1,5
738,2322,3057.14,2,1,7,2,3,0,0
3010,2566,4694.67,0,7,2,5,2,1,5
4018,90,1693.91,6,6,5,7,4,1,3
3698,2584,9799.91,4,4,0,0,2,1,3
4027,2502,3936.46,1,0,5,5,7,0,0
1527,2211,2182.06,1,4,2,7,4,1,5
2648,875,9303.77,4,4,1,5,5,0,1
1834,491,1253.74,2,7,4,2,7,0,0
4575,1036,8571.31,2,3,5,1,7,0,1
2692,136,1428.5,4,6,0,5,3,0,0
2290,225,8300.38,1,2,2,6,6,0,1
2092,973,6109.12,1,1,4,1,4,1,7
276,4192,5359.82,5,6,4,0,4,1,6
4738,4748,7472.54,1,2,7,7,5,0,0
1001,1112,2318.47,4,1,0,7,6,0,0
1428,937,4833.52,3,3,5,0,5,0,0
774,276,6786.11,0,2,5,6,0,0,0
1154,1609,5386.82,4,7,5,1,1,1,6
3113,477,1177.97,7,7,3,4,3,0,0
2027,1999,6648.12,6,2,0,4,0,0,1
3228,1161,2823.68,1,3,3,7,5,0,0
2054,896,1063.44,6,3,3,0,6,0,0
1844,4159,170.61,0,4,3,4,3,0,0
1824,3306,83.91,5,5,7,5,5,0,1
1615,4695,2402.68,3,1,7,7,7,0,0
4821,495,6475.62,5,5,3,5,6,0,0
3205,3622,236.43,5,4,5,3,3,0,1
197,401,3884.34,1,1,4,1,0,0,1
3287,1885,4568.54,0,7,1,6,1,1,4
4662,3516,3809.64,2,1,4,3,5,0,1
4176,1818,682.42,3,3,3,1,0,0,0
145,3114,6599.62,7,4,7,7,5,0,0
4224,1174,9819.47,0,5,2,4,5,0,1
1616,167,5131.57,0,0,5,4,2,1,6
4090,3698,8629.37,3,0,6,3,6,0,0
4416,1243,9726.17,3,5,7,7,5,0,1
3384,4268,4075.28,3,3,4,3,1,1,2
977,3266,6036.9,5,3,6,6,7,0,1
1643,4808,2936.96,7,3,6,4,3,0,1
3430,3781,4612.38,7,5,3,5,7,0,0
1926,2602,1915.08,4,4,2,4,6,0,1
54,1865,5714.49,0,5,1,2,4,1,7
4309,4596,3883.54,5,0,1,7,4,1,7
253,3058,8452.54,6,0,1,6,6,0,0
741,2399,3220.93,2,1,7,0,0,0,1
1523,628,9630.8,3,1,2,4,3,0,1
797,4721,3442.47,5,7,2,6,4,1,6
1161,1703,4724.63,7,4,3,7,1,1,4
4104,1673,4103.37,6,3,0,0,2,1,4
392,204,8807.8,4,2,5,1,1,1,7
1679,673,1084.04,2,1,4,4,4,1,6
3405,4285,7862.57,1,2,7,4,1,1,2
2594,1804,3162.98,7,4,7,2,7,0,0
1887,2991,383.95,4,5,7,0,0,0,0
2068,127,1291.27,6,4,2,0,1,1,3
3112,1423,3239.86,6,0,2,0,5,0,1
283,3239,2402.15,0,2,7,4,3,0,0
4113,1266,1767.67,6,7,5,6,5,0,1
4267,830,8739.5,7,6,1,4,6,0,0
1435,3819,8137.33,2,2,6,1,7,0,0
1685,4728,2143.49,1,5,4,0,7,0,0
2960,775,422.26,6,4,2,4,7,0,1
1638,3943,7405.73,0,0,4,5,5,0,1
3087,901,5730.94,6,5,4,2,6,0,0
4912,1485,1956.09,4,4,2,1,2,1,2
1699,1090,2735.44,3,1,4,6,0,0,1
3668,4135,4615.19,6,3,5,4,3,0,1
1551,3922,5692.17,0,1,2,6,7,0,1
3441,790,3338.5,6,4,5,2,2,1,2
4204,1401,1063.43,0,2,6,5,7,0,1
2795,2562,2173.06,1,4,4,0,0,0,1
4771,1325,3228.1,6,1,3,4,2,1,3
4758,4106,8113.58,4,2,1,2,7,0,1
4606,3504,6957.58,1,4,5,4,2,1,4
3163,3549,6384.18,4,4,1,6,5,0,0
2798,3131,2708.77,4,7,5,7,7,0,0
3319,799,9086.85,7,3,5,5,6,0,1
569,1055,5903.88,6,4,5,6,3,0,1
3536,3426,8134.71,1,1,7,2,4,1,2
1521,1500,1161.77,1,2,6,6,7,0,0
1441,4762,1813.84,3,0,7,1,0,0,1
296,3658,5115.18,3,3,0,2,6,0,0
706,3093,6648.49,5,3,1,0,0,0,1
2196,4,3219.31,0,7,6,2,2,1,6
4599,3857,1693.53,7,0,1,4,1,1,6
730,2965,1448.76,7,5,2,3,0,0,0
2167,1628,9630.78,5,4,1,7,2,1,5
4911,3365,5140.64,3,1,7,7,0,0,0
2937,2041,5457.72,5,0,5,0,4,1,6
443,2443,4130.7,0,5,2,1,3,0,0
