Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
4214,1356,9447.92,0,0,3,3,2,1,5
4476,157,5928.47,4,4,4,7,5,0,0
2165,2902,6286.12,0,7,5,3,0,0,1
4119,4401,9384.68,6,0,3,7,7,0,1
3394,4247,8842.28,1,4,3,3,6,0,0
3601,299,2890.53,3,4,0,1,3,0,0
71,1617,3738.82,1,7,3,3,2,1,3
4929,3490,3433.91,6,4,4,0,6,0,1
1660,774,8811.29,2,0,2,3,1,1,3
408,3254,3181.82,7,1,4,4,3,0,1
3055,4869,2233.62,2,4,2,6,7,0,0
4454,4429,9006.91,0,7,1,2,1,1,2
4982,3856,4297.88,6,2,7,2,5,0,1
1727,2691,6740.25,5,3,4,2,3,0,1
4471,264,7623.59,2,2,6,1,3,0,0
2575,394,7886.58,2,5,0,3,2,1,5
4510,4442,6196.41,6,3,0,1,4,1,4
608,2659,4598.86,2,2,0,2,5,0,0
2360,2285,6807.41,1,2,3,2,6,0,0
758,4364,8208.67,5,5,5,3,0,0,0
3706,37,2490.7,1,0,7,7,7,0,1
4887,1147,4895.06,1,1,1,0,0,0,0
4640,4922,4438.38,4,6,1,2,4,1,3
3389,3709,5816.81,6,1,3,1,7,0,0
3737,4829,7711.45,6,3,7,2,1,1,5
300,2890,7839.39,2,3,1,1,5,0,1
4817,1890,6610.8,0,6,0,0,2,1,2
4767,2930,4332.39,7,5,4,0,6,0,1
3726,1106,2553.23,6,5,0,7,3,0,1
46,216,8615.83,7,4,3,5,1,1,5
3771,4435,8529.53,6,2,5,7,4,1,5
79,395,5053.86,1,5,1,5,2,1,5
352,4576,5898.42,7,7,4,7,1,1,5
1021,1461,7336.27,6,6,6,5,4,1,5
2444,4802,5700.13,3,2,0,7,3,0,1
3820,3605,7510.8,2,0,6,0,2,1,3
497,3466,2632.73,4,3,1,3,1,1,5
1674,4059,8776.18,4,5,6,0,3,0,0
319,3436,2652.53,1,6,4,1,2,1,4
2063,1664,2644.7,6,1,4,6,2,1,6
971,1033,7729.84,4,6,0,1,0,0,1
4070,499,3791.23,4,4,6,6,4,1,5
2085,1870,4012.94,7,6,6,7,0,0,1
1568,3582,3435.87,7,5,0,1,7,0,0
2423,4096,6198.02,3,4,6,3,1,1,2
2791,4271,7318.44,2,2,2,5,2,1,4
106,3452,1563.61,0,2,4,4,7,0,1
2174,2400,6574.17,5,6,5,5,7,0,0
3565,2046,6603.7,4,1,0,2,2,1,7
146,638,7942.65,6,2,4,0,7,0,0
2557,88,5060.74,4,6,0,0,3,0,0
769,678,2539.47,6,3,0,0,2,1,5
3940,2430,5459.89,5,5,4,3,2,1,6
2736,1638,8893.36,4,6,7,4,4,1,2
141,2603,5901.48,2,5,3,0,2,1,3
4148,4048,4947.91,0,4,5,2,0,0,1
397,1825,2367.16,7,1,2,3,0,0,1
2720,4244,8229.21,5,6,4,5,5,0,1
4363,931,3809.08,0,0,2,7,2,1,3
4898,2983,412.96,2,7,1,5,6,0,1
4869,163,4597.14,1,1,0,4,4,1,4
2568,4482,1224.62,6,7,1,3,0,0,1
1751,1042,9653.83,7,3,3,6,0,0,1
4532,728,3455.9,2,5,6,7,0,0,0
3549,4866,2794.16,0,0,4,6,4,1,4
4394,250,9491.63,6,6,3,4,6,0,0
3271,4593,1305.07,0,1,0,0,7,0,1
935,1399,2027.03,3,0,1,2,3,0,0
771,397,3540.61,4,3,6,6,4,1,3
142,4290,7280.91,7,5,7,6,0,0,0
4400,2364,761.18,5,3,2,4,0,0,1
2405,4492,2444.1,0,6,2,3,1,1,6
3994,2806,3424.94,0,4,1,6,4,1,6
4679,3151,8103.44,6,5,2,4,6,0,1
1904,2012,791.27,0,6,2,1,0,0,1
1672,528,505.81,1,6,6,4,1,1,4
89,877,184.78,7,5,1,4,0,0,0
193,4609,8375.5,3,2,5,6,3,0,1
2691,4446,602.14,7,5,7,0,1,1,3
1563,1539,2351.54,7,6,6,4,0,0,1
1209,2105,4934.92,7,4,4,2,6,0,1
4280,4216,8646.77,4,6,3,2,4,1,3
2645,4584,6314.28,5,7,4,2,5,0,0
3873,861,4871.3,4,0,6,1,0,0,0
3720,2266,320.0,5,4,5,2,6,0,0
55,3293,7254.13,1,7,6,1,5,0,1
996,340,8526.7,0,7,5,1,1,1,5
3134,2829,9265.55,0,1,3,3,3,0,0
415,1081,2764.93,3,1,3,4,7,0,0
1355,3636,2908.07,6,5,3,1,7,0,1
698,2821,710.4,0,1,6,7,1,1,7
3965,2433,7706.62,6,4,3,0,6,0,1
986,4324,2410.05,1,6,5,3,1,1,2
897,3042,1208.93,3,0,3,5,4,1,7
4661,3144,1928.18,1,2,7,4,7,0,1
1560,4229,9056.04,7,3,6,5,4,1,4
2218,2901,9496.45,1,1,1,1,3,0,0
976,4310,8820.78,7,6,7,6,4,1,5
4108,865,1495.4,1,7,3,4,6,0,0
4764,1590,4906.39,4,5,1,0,7,0,0
161,432,924.01,2,1,0,5,7,0,0
3865,1370,105.35,1,2,2,7,5,0,1
1589,1264,3209.38,3,0,2,7,2,1,4
1673,4774,6283.9,0,6,3,0,6,0,1
93,2320,1364.09,4,7,7,0,4,1,7
4001,1700,6210.9,4,1,3,6,5,0,1
2558,2019,2435.55,0,3,2,3,7,0,1
2585,4258,705.79,0,5,4,2,2,1,5
4342,3043,51.16,2,7,5,7,6,0,0
3914,3249,9650.33,4,4,1,4,7,0,0
4665,1951,8108.61,4,1,6,6,4,1,3
3753,4867,499.82,7,4,1,1,3,0,1
4277,3683,1260.77,2,2,4,7,1,1,4
4022,1276,9200.15,4,3,0,6,4,1,7
3223,4741,3198.13,7,7,3,2,6,0,1
1320,137,7849.3,3,5,2,5,0,0,0
3877,1345,9910.97,6,3,0,7,7,0,1
1938,1387,9173.78,5,7,2,5,5,0,1
1436,2275,5597.9,4,0,1,1,5,0,0
3897,3788,8182.94,4,3,3,6,7,0,0
3523,4781,1185.29,6,5,0,4,0,0,1
3136,1227,7634.23,7,2,1,5,6,0,1
127,3761,588.88,3,0,3,1,2,1,4
3073,883,86.44,3,0,4,2,3,0,1
3376,4057,8107.72,6,0,3,7,5,0,0
987,4686,5212.45,2,3,0,7,5,0,1
3872,1747,9160.85,4,3,7,3,2,1,4
993,1159,6849.54,2,4,0,2,4,1,6
2934,2583,7499.97,0,7,5,6,0,0,1
217,2941,2444.75,3,1,2,4,5,0,0
1822,784,5999.96,7,3,0,6,4,1,2
3486,1278,5202.59,6,0,6,6,6,0,0
4244,2205,9176.24,5,2,6,5,0,0,1
4573,4087,8861.33,0,5,2,5,1,1,5
2485,768,5252.73,1,6,2,4,2,1,6
3202,3374,3129.6,2,6,1,6,1,1,7
1282,2617,2309.44,6,2,4,2,1,1,3
2425,3132,8322.05,6,5,7,2,2,1,7
4641,3358,8576.89,5,6,6,7,0,0,0
3630,2619,5309.93,0,2,0,0,7,0,0
4448,3351,6923.75,6,0,6,3,7,0,1
2285,3908,9004.77,1,3,2,2,2,1,3
3006,2115,856.16,3,4,2,6,3,0,1
3161,2508,8641.89,4,6,7,2,5,0,1
618,2155,5035.59,1,7,1,4,4,1,2
3211,2048,5057.05,7,0,5,7,7,0,0
2144,2290,2560.01,5,3,7,2,0,0,1
1276,3765,4792.41,5,7,1,1,1,1,5
2930,3125,570.81,5,6,4,0,7,0,1
1286,2363,3752.05,1,2,1,4,5,0,0
1452,610,4008.77,5,2,3,6,3,0,1
2180,3538,1752.92,5,3,6,0,4,1,2
3361,460,4530.55,5,6,3,1,2,1,2
3970,3959,5307.63,5,7,3,2,5,0,1
3648,2685,9549.28,0,1,7,1,2,1,7
649,3707,2466.91,1,1,7,4,5,0,1
3400,3362,3377.5,6,2,7,3,6,0,1
4524,4560,3047.71,3,5,2,6,1,1,7
1451,2711,6563.52,7,0,7,7,5,0,0
2010,1660,6003.44,5,3,4,1,7,0,0
4671,2801,4899.12,7,7,4,6,5,0,0
1144,4535,9188.37,6,3,6,1,5,0,1
3787,4571,6187.35,0,3,4,3,5,0,0
4097,4458,7148.69,7,6,7,0,5,0,1
24,1776,2938.19,4,2,2,6,3,0,1
2241,817,8969.82,3,2,3,4,1,1,7
4245,1614,1570.84,5,4,7,1,0,0,1
4537,3221,1420.01,0,7,5,6,4,1,4
4058,916,7237.99,3,1,1,4,5,0,0
4704,1625,9229.02,7,6,4,2,2,1,3
3412,4988,269.0,2,3,1,4,4,1,7
2799,3385,6071.61,7,4,0,7,4,1,3
179,706,8480.9,2,6,3,4,1,1,3
4385,4600,7306.43,7,7,0,3,1,1,2
4889,3921,2543.58,7,5,3,5,0,0,0
1245,1104,5472.59,0,2,1,5,0,0,0
169,385,2723.61,6,6,2,5,0,0,0
1731,2323,5666.85,0,6,4,4,1,1,3
4265,2450,1692.46,4,1,0,4,3,0,0
1886,885,8787.52,2,2,4,1,2,1,2
184,2148,7743.56,5,0,6,1,2,1,6
3367,1866,924.64,7,0,2,4,4,1,2
3232,1599,4929.03,5,1,4,7,4,1,3
3732,3445,2967.67,3,2,6,7,5,0,0
3265,4248,3644.63,5,4,6,0,7,0,1
1921,4544,5731.95,7,3,0,4,6,0,1
3420,3174,3151.88,2,4,0,1,7,0,1
2417,1878,1563.58,1,6,6,4,7,0,0
1841,942,3116.92,6,4,3,4,1,1,6
1758,987,9895.6,5,7,3,7,2,1,4
